Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Burundi,BDI,53027631.5667755,44386285.3564346,38527028.8539966,44835399.3090835,64258424.9250613,95594381.2300029,93167621.5882884,89631590.1707505,152972423.249737,118346013.283973,180727849.858285,235664407.568157,224157323.476642,221061620.730622,204052969.389467,178137758.869175,197538494.081243,270686218.083633,285105476.751206,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Cabo Verde,CPV,140694347.016288,160165862.55665,186587323.923319,245798014.024083,285599361.458898,353889002.672653,472148725.837396,565704702.597563,710098097.187698,562472249.890453,629610621.57886,782349340.481786,771205731.244679,841273647.317022,893905109.430354,659985468.236971,715420297.093904,795488589.593232,963030616.392516,1003884194.2033,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Cambodia,KHM,1825560248.01192,2095786689.48529,2373990028.11467,2634778249.40812,3393818852.73366,4026087917.5649,5017028770.0563,4680647133.06962,5020493181.64083,4965510407.70694,5931384790.02975,7770774163.73532,8875886160.17969,10537592347.8133,11980390263.6543,13291033923.3282,14305832074.9459,15831866523.1595,18413935867.9151,21072953254.6803,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Cameroon,CMR,2673369296.60556,2825190356.33391,2998577395.59889,3135066682.39515,3823851830.36648,4236839390.79498,4869500803.12473,6334380305.78225,7354920841.40162,5334539832.97317,5613238091.16555,7520841030.76797,7384889219.89527,8027914863.91496,8602120400.06086,6735658332.85852,6247837992.00962,6548600006.74731,7301078164.06876,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Canada,CAN,328227892005.093,309750150606.078,303338703136.931,329143740782.277,381726288257.125,430853577575.864,464880113739.585,501654730157.097,535719719575.132,392141630610.373,469288008080.745,546776957186.172,554961465410.872,560082523492.079,573305506396.425,496137259587.928,481615868845.151,518252422544.677,550450862731.338,549454303716.182,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3711005679.71958,3936707463.99714,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Chile,CHL,23293153568.7677,22410169061.2974,22565348603.4456,26728130243.0111,39052608176.4216,48965742072.4972,67117042788.2984,77583639412.993,75124029616.6046,63904282434.2356,81955505335.345,94349665630.582,90332359682.6782,88886685222.7328,85745722947.3996,71555245302.0469,70244163147.2209,78612377274.8972,85039885547.537,79305714414.3732,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,190039384000,208572000000,247626456545.448,445976206260.613,604774713079.717,773339005396.985,991731387760.491,1257052625429.69,1495317001221.66,1249723531706.78,1603944171443.28,2008852448487.47,2175092012376.37,2355594737798.11,2462902030661.11,2360152452309.1,2197922469129.56,2429277356205.39,2651009602168.9,2643376928734.95,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Colombia,COL,15805109983.6641,15062583135.2386,14246681388.6471,15733414821.1176,19647838536.4314,24704011324.8809,28917459211.4915,34531630339.7985,43059178211.5416,38572167199.2835,45882895935.252,63905620972.5638,68051796936.0748,67304673552.2873,64054851197.8187,45998404723.6614,41834157970.7058,48238279401.4181,54092419668.8918,52344913163.8997,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Comoros,COM,..,..,..,60150867.651824,57051324.7500771,57125694.220644,60178135.4165162,71580136.0082379,74429692.5698601,78013953.2042351,87518227.2825835,99773459.6477723,89541536.6026727,..,125150792.574377,96999110.2298808,108100309.786432,128196398.060157,152076581.006506,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Congo, Dem. Rep.",COD,..,..,..,..,..,2746000000,3137600000,6540300000,7698000000,5020900000,8866500000,10211300000,9031062349.92914,11909060432.7446,12635997429.5669,10458122394.6932,12013350564.3677,11656298361.482,16081644519.2321,15173187659.7912,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Congo, Rep.",COG,2628296850.89709,2199123217.201,2453603936.39146,2830693584.90488,3629860193.25968,4965797528.35334,6331731924.44604,5861115566.64612,8276155659.1357,6244442199.46775,9001562369.77435,11509118450.7998,10276991429.1245,9503628540.43745,9508523099.38986,5078447038.851,4596398727.6041,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Costa Rica,CRI,6483187693.18264,6507245226.05823,6535520876.6269,7063161813.68921,7901223846.35991,8766041029.61709,9899108271.97083,10993921245.9417,12118035648.6236,10776383456.5034,12514007854.8623,14083611738.385,15131186661.0081,15815497861.2498,16561684792.9675,17145996657.9747,18637388402.945,19439471148.173,20564084818.525,21223042487.7701,..
